X,Y,id,x,y,z,dip_dir,dip_ang,descript
-1653.963825537416142,-288953.387186699372251,2,-1653.963825537416142,-288953.387186699372251,-3818.477635608479432,294.124549416161244,4.251100985300923,thin_bright
-1653.195919866082932,-288952.312118759495206,2,-1653.195919866082932,-288952.312118759495206,-3818.422952849445210,294.124549416161244,4.251100985300923,thin_bright
-1652.735176463282869,-288951.237050819618162,2,-1652.735176463282869,-288951.237050819618162,-3818.434568778797257,294.124549416161244,4.251100985300923,thin_bright
-1651.813689657682971,-288949.854820611246396,2,-1651.813689657682971,-288949.854820611246396,-3818.401894431824985,294.124549416161244,4.251100985300923,thin_bright
-1651.122574553482991,-288948.779752671369351,2,-1651.122574553482991,-288948.779752671369351,-3818.420912850287550,294.124549416161244,4.251100985300923,thin_bright
-1649.893925479349718,-288947.243941328662913,2,-1649.893925479349718,-288947.243941328662913,-3818.370585986764581,294.124549416161244,4.251100985300923,thin_bright
-1648.742066972349676,-288945.861711120291147,2,-1648.742066972349676,-288945.861711120291147,-3818.327558023312122,294.124549416161244,4.251100985300923,thin_bright
-1647.436627331082946,-288944.325899777642917,2,-1647.436627331082946,-288944.325899777642917,-3818.276979165003468,294.124549416161244,4.251100985300923,thin_bright
-1646.591931092616505,-288942.482926166441757,2,-1646.591931092616505,-288942.482926166441757,-3818.375781705759437,294.124549416161244,4.251100985300923,thin_bright
-1645.824025421283068,-288941.331067659426481,2,-1645.824025421283068,-288941.331067659426481,-3818.387139692617893,294.124549416161244,4.251100985300923,thin_bright
-1644.90253861568317,-288940.255999719549436,2,-1644.902538615683170,-288940.255999719549436,-3818.373329063125766,294.124549416161244,4.251100985300923,thin_bright
-1644.21142351148319,-288939.180931779672392,2,-1644.211423511483190,-288939.180931779672392,-3818.384644701347952,294.124549416161244,4.251100985300923,thin_bright
-1643.827470675816585,-288937.645120437024161,2,-1643.827470675816585,-288937.645120437024161,-3818.501703121522496,294.124549416161244,4.251100985300923,thin_bright
-1643.059565004483147,-288936.262890228594188,2,-1643.059565004483147,-288936.262890228594188,-3818.501968520326955,294.124549416161244,4.251100985300923,thin_bright
-1642.445240467416625,-288934.49670718453126,2,-1642.445240467416625,-288934.496707184531260,-3818.600922357393301,294.124549416161244,4.251100985300923,thin_bright
-1641.907706497483332,-288933.728801513207145,2,-1641.907706497483332,-288933.728801513207145,-3818.505766794344709,294.124549416161244,4.251100985300923,thin_bright
-1641.370172527550039,-288932.576943006191868,2,-1641.370172527550039,-288932.576943006191868,-3818.425566021850045,294.124549416161244,4.251100985300923,thin_bright
