X,Y,id,x,y,z,dip_dir,dip_ang
-1653.963826,-288953.3872,2,-1653.963826,-288953.3872,-3818.477636,294.1245494,4.251100985
-1653.19592,-288952.3121,2,-1653.19592,-288952.3121,-3818.422953,294.1245494,4.251100985
-1652.735176,-288951.2371,2,-1652.735176,-288951.2371,-3818.434569,294.1245494,4.251100985
-1651.81369,-288949.8548,2,-1651.81369,-288949.8548,-3818.401894,294.1245494,4.251100985
-1651.122575,-288948.7798,2,-1651.122575,-288948.7798,-3818.420913,294.1245494,4.251100985
-1649.893925,-288947.2439,2,-1649.893925,-288947.2439,-3818.370586,294.1245494,4.251100985
-1648.742067,-288945.8617,2,-1648.742067,-288945.8617,-3818.327558,294.1245494,4.251100985
-1647.436627,-288944.3259,2,-1647.436627,-288944.3259,-3818.276979,294.1245494,4.251100985
-1646.591931,-288942.4829,2,-1646.591931,-288942.4829,-3818.375782,294.1245494,4.251100985
-1645.824025,-288941.3311,2,-1645.824025,-288941.3311,-3818.38714,294.1245494,4.251100985
-1644.902539,-288940.256,2,-1644.902539,-288940.256,-3818.373329,294.1245494,4.251100985
-1644.211424,-288939.1809,2,-1644.211424,-288939.1809,-3818.384645,294.1245494,4.251100985
-1643.827471,-288937.6451,2,-1643.827471,-288937.6451,-3818.501703,294.1245494,4.251100985
-1643.059565,-288936.2629,2,-1643.059565,-288936.2629,-3818.501969,294.1245494,4.251100985
-1642.44524,-288934.4967,2,-1642.44524,-288934.4967,-3818.600922,294.1245494,4.251100985
-1641.907706,-288933.7288,2,-1641.907706,-288933.7288,-3818.505767,294.1245494,4.251100985
-1641.370173,-288932.5769,2,-1641.370173,-288932.5769,-3818.425566,294.1245494,4.251100985
-1641.254987,-288930.8492,2,-1641.254987,-288930.8492,-3818.597443,294.1245494,4.251100985
-1641.293382,-288928.9678,2,-1641.293382,-288928.9678,-3818.843656,294.1245494,4.251100985
-1640.98622,-288927.8159,2,-1640.98622,-288927.8159,-3818.806238,294.1245494,4.251100985
-1640.794243,-288926.3569,2,-1640.794243,-288926.3569,-3818.83167,294.1245494,4.251100985
-1640.525476,-288925.205,2,-1640.525476,-288925.205,-3818.820606,294.1245494,4.251100985
-1640.295105,-288923.4773,2,-1640.295105,-288923.4773,-3818.861752,294.1245494,4.251100985
-1640.141523,-288922.5558,2,-1640.141523,-288922.5558,-3818.859268,294.1245494,4.251100985
-1639.795966,-288921.5575,2,-1639.795966,-288921.5575,-3818.770008,294.1245494,4.251100985
-1639.565594,-288920.5976,2,-1639.565594,-288920.5976,-3818.720207,294.1245494,4.251100985
-1639.450408,-288919.8297,2,-1639.450408,-288919.8297,-3818.72668,294.1245494,4.251100985
-1639.373618,-288918.5243,2,-1639.373618,-288918.5243,-3818.818213,294.1245494,4.251100985
-1639.220037,-288916.7197,2,-1639.220037,-288916.7197,-3818.915151,294.1245494,4.251100985
-1638.605712,-288913.8016,2,-1638.605712,-288913.8016,-3818.875105,294.1245494,4.251100985
-1637.799411,-288912.4962,2,-1637.799411,-288912.4962,-3818.76279,294.1245494,4.251100985
-1637.261877,-288911.1908,2,-1637.261877,-288911.1908,-3818.778571,294.1245494,4.251100985
-1637.031505,-288910.0389,2,-1637.031505,-288910.0389,-3818.884607,294.1245494,4.251100985
-1636.724343,-288908.9638,2,-1636.724343,-288908.9638,-3818.923972,294.1245494,4.251100985
-1636.301995,-288907.812,2,-1636.301995,-288907.812,-3818.912163,294.1245494,4.251100985
-1635.726066,-288906.5833,2,-1635.726066,-288906.5833,-3818.861051,294.1245494,4.251100985
-1635.342113,-288905.5467,2,-1635.342113,-288905.5467,-3818.88333,294.1245494,4.251100985
-1634.804579,-288904.3948,2,-1634.804579,-288904.3948,-3818.892225,294.1245494,4.251100985
-1634.190255,-288903.3197,2,-1634.190255,-288903.3197,-3818.859275,294.1245494,4.251100985
-1633.767906,-288902.2831,2,-1633.767906,-288902.2831,-3818.876714,294.1245494,4.251100985
-1633.422349,-288901.0544,2,-1633.422349,-288901.0544,-3818.931465,294.1245494,4.251100985
-1632.884815,-288899.9793,2,-1632.884815,-288899.9793,-3818.895742,294.1245494,4.251100985
-1632.539257,-288898.5587,2,-1632.539257,-288898.5587,-3818.947334,294.1245494,4.251100985
-1632.078514,-288897.6372,2,-1632.078514,-288897.6372,-3818.889142,294.1245494,4.251100985
-1631.809747,-288896.7541,2,-1631.809747,-288896.7541,-3818.871088,294.1245494,4.251100985
-1631.349004,-288895.4103,2,-1631.349004,-288895.4103,-3818.819345,294.1245494,4.251100985
-1631.003446,-288894.1049,2,-1631.003446,-288894.1049,-3818.855224,294.1245494,4.251100985
-1630.696284,-288892.7226,2,-1630.696284,-288892.7226,-3818.95629,294.1245494,4.251100985
-1630.504307,-288891.0716,2,-1630.504307,-288891.0716,-3819.073824,294.1245494,4.251100985
-1629.928378,-288889.9198,2,-1629.928378,-288889.9198,-3818.991774,294.1245494,4.251100985
-1629.698006,-288888.9215,2,-1629.698006,-288888.9215,-3819.043173,294.1245494,4.251100985
-1629.50603,-288887.9232,2,-1629.50603,-288887.9232,-3819.114322,294.1245494,4.251100985
-1629.160472,-288886.7714,2,-1629.160472,-288886.7714,-3819.16631,294.1245494,4.251100985
-1628.85331,-288886.0803,2,-1628.85331,-288886.0803,-3819.141069,294.1245494,4.251100985
-1628.699729,-288885.2356,2,-1628.699729,-288885.2356,-3819.181213,294.1245494,4.251100985
-1628.392567,-288883.239,2,-1628.392567,-288883.239,-3819.231684,294.1245494,4.251100985
-1628.162195,-288881.972,2,-1628.162195,-288881.972,-3819.245216,294.1245494,4.251100985
-1627.931823,-288880.8585,2,-1627.931823,-288880.8585,-3819.294921,294.1245494,4.251100985
-1627.816637,-288879.9754,2,-1627.816637,-288879.9754,-3819.368595,294.1245494,4.251100985
-1627.778242,-288878.9771,2,-1627.778242,-288878.9771,-3819.480108,294.1245494,4.251100985
-1627.125522,-288875.6367,2,-1627.125522,-288875.6367,-3819.207099,294.1245494,4.251100985
-1626.357617,-288872.8339,2,-1626.357617,-288872.8339,-3819.458337,294.1245494,4.251100985
-1626.050454,-288871.49,2,-1626.050454,-288871.49,-3819.482864,294.1245494,4.251100985
-1626.050454,-288869.9158,2,-1626.050454,-288869.9158,-3819.600018,294.1245494,4.251100985
-1625.666502,-288868.956,2,-1625.666502,-288868.956,-3819.332665,294.1245494,4.251100985
-1625.359339,-288868.3032,2,-1625.359339,-288868.3032,-3819.126298,294.1245494,4.251100985
-1625.282549,-288867.5737,2,-1625.282549,-288867.5737,-3819.209154,294.1245494,4.251100985
-1625.167363,-288866.7674,2,-1625.167363,-288866.7674,-3819.276033,294.1245494,4.251100985
-1625.205758,-288865.7308,2,-1625.205758,-288865.7308,-3819.433836,294.1245494,4.251100985
-1624.706619,-288865.1548,2,-1624.706619,-288865.1548,-3819.32725,294.1245494,4.251100985
-1624.322667,-288864.3485,2,-1624.322667,-288864.3485,-3819.292722,294.1245494,4.251100985
-1624.207481,-288863.3119,2,-1624.207481,-288863.3119,-3819.421889,294.1245494,4.251100985
-1623.785133,-288862.0448,2,-1623.785133,-288862.0448,-3819.476865,294.1245494,4.251100985
-1622.786855,-288860.0483,2,-1622.786855,-288860.0483,-3819.360186,294.1245494,4.251100985
-1622.479693,-288859.05,2,-1622.479693,-288859.05,-3819.371536,294.1245494,4.251100985
-1622.210926,-288858.1669,2,-1622.210926,-288858.1669,-3819.386435,294.1245494,4.251100985
-1621.289439,-288856.7079,2,-1621.289439,-288856.7079,-3819.229157,294.1245494,4.251100985
-1620.521534,-288854.9417,2,-1620.521534,-288854.9417,-3819.178907,294.1245494,4.251100985
